AgeAtDeath
81
64
88
85
96
101
87
83
1
83
84
59
61
74
70
75
99
89
63
91
57
65
42
38
68
80
97
80
95
87
50
94
53
90
91
90
90
78
54
71
79
87
80
80
83
94
22
65
80
75
23
31
65
73
82
66
60
67
93
81
73
98
84
89
75
77
89
85
82
68
54
39
62
68
18
95
78
81
76
53
84
59
90
95
75
92
89
26
49
58
82
59
40
61
69
62
93
38
85
56
87
81
89
98
81
64
68
75
92
68
74
70
80
25
67
58
85
91
84
79
90
60
83
79
91
92
90
95
67
69
87
75
63
77
79
93
90
86
89
85
81
71
97
72
64
59
44
75
76
81
76
95
71
70
76
88
96
86
89
53
96
95
71
66
65
89
75
77
84
84
90
68
13
83
88
63
75
37
85
70
73
92
92
72
89
75
96
75
84
93
80
96
70
88
84
89
54
91
66
70
98
91
58
59
68
72
67
86
78
51
82
71
67
56
71
69
76
71
67
75
46
78
57
58
76
42
84
84
86
67
84
45
96
80
62
65
91
5
96
79
83
83
81
67
72
92
53
69
90
63
94
74
58
20
67
84
74
78
81
35
83
73
71
61
92
76
87
53
86
51
73
88
82
98
80
79
85
67
86
79
77
40
33
73
90
95
5
56
67
65
88
22
91
84
17
72
61
89
88
79
53
98
85
69
78
86
54
81
75
91
60
76
96
90
19
94
90
79
83
87
81
89
43
76
31
68
73
44
76
65
84
73
53
74
55
84
90
85
90
88
86
79
75
80
48
66
85
75
48
69
52
34
83
82
91
84
82
78
79
57
84
85
69
97
64
106
78
59
38
75
77
64
60
82
57
78
82
81
74
69
33
75
76
82
95
93
20
90
67
51
53
81
85
53
81
95
86
72
71
58
79
69
50
3
90
76
77
73
79
65
7
73
76
89
89
44
82
89
77
52
63
100
73
72
95
52
88
78
91
110
75
81
70
58
44
63
70
35
84
67
51
77
53
73
78
88
56
61
24
65
66
97
80
66
77
89
80
82
89
91
7
72
83
82
86
88
86
80
83
5
80
91
64
93
88
83
84
78
55
90
61
88
82
37
91
61
90
68
64
81
85
79
38
52
74
57
74
75
60
89
65
86
90
95
76
73
89
79
74
89
92
78
79
59
83
90
88
79
80
65
73
89
89
63
55
76
76
81
75
91
72
59
88
84
84
76
81
72
90
88
92
57
39
77
89
88
83
81
75
82
82
36
73
79
80
83
97
83
68
50
90
23
82
73
85
73
84
80
82
89
49
81
62
63
98
89
87
86
89
89
70
52
64
50
62
71
76
79
59
75
90
86
61
68
78
98
90
81
98
88
85
74
71
57
43
30
58
92
88
69
75
19
94
70
74
75
60
72
89
83
45
73
75
84
71
82
63
80
91
80
71
83
90
83
69
57
71
31
95
84
44
72
74
89
70
55
74
64
45
84
67
79
38
82
81
71
72
97
86
41
88
83
86
79
88
88
75
88
78
80
68
60
95
66
88
83
81
71
88
66
89
91
66
87
58
58
91
78
89
48
94
91
86
51
80
93
72
66
32
89
