id,descripcion
5,De 10 a 14 anos
10,De 45 a 65 anos
8,De 25 a 34 anos
9,De 35 a 44 anos
4,De 5 a 9 anos
3,De 2 a 4 anos
6,De 15 a 19 anos
7,De 20 a 24 anos
11,Mayores de 65 anos
999,Sin Especificar
1,Posneonato (de 29 a 365 días)
2,De 13 a 24 meses
0,Neonato (hasta 28 dias)
