,nombre_pais,sede_id,red_social,url
149,REPÚBLICA  DEL  ECUADOR,EECUA,Instagram,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
150,REPÚBLICA  DEL  ECUADOR,EECUA,Youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
151,REPÚBLICA  DEL  PARAGUAY,CCEST,Facebook,https://www.facebook.com/ArgEnCiudaddeleste/
152,REPÚBLICA  DEL  PARAGUAY,CCEST,Instagram,https://www.instagram.com/argenciudaddeleste
153,REPÚBLICA  DEL  PARAGUAY,EPARA,Facebook,https://www.facebook.com/embajada.paraguay
154,REPÚBLICA  DEL  PARAGUAY,EPARA,Twitter,https://twitter.com/argenparaguay_
155,REPÚBLICA  DEL  PERÚ,EPERU,Facebook,https://www.facebook.com/ArgentinaEnPeru
156,REPÚBLICA  DEL  PERÚ,EPERU,Twitter,https://twitter.com/Emb_Arg_Peru
157,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,EETIO,Facebook,https://www.facebook.com/ArgEnEtiopia/
158,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,EETIO,Instagram,https://www.instagram.com/embaargenetiopia/
159,REPÚBLICA  DOMINICANA,EDOMI,Facebook,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/
160,REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,Facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
161,REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,Instagram,http://www.instagram.com/consulado.argentino.bonn
162,REPÚBLICA  FEDERAL  DE  ALEMANIA,EALEM,Facebook,https://www.facebook.com/ArgEnAlemania/
163,REPÚBLICA  FEDERAL  DE  NIGERIA,ENIGE,Facebook,https://www.facebook.com/ArgentinaEnNigeria/
164,REPÚBLICA  FEDERAL  DE  NIGERIA,ENIGE,Instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
165,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
166,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Instagram,https://www.instagram.com/argenportoalegre/
167,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Twitter,https://twitter.com/ArgPortoAlegre
168,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
169,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Instagram,https://www.instagram.com/consgralbelo/
170,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Twitter,https://twitter.com/consgralbelo
171,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Facebook,https://www.facebook.com/ArgEnCuritiba/
172,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Instagram,https://instagram.com/argEncuritiba
173,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Twitter,https://twitter.com/ARGenCuri
174,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
175,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Instagram,https://www.instagram.com/argentinaenfoz/
176,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Twitter,https://twitter.com/argentinaenfoz
177,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFLOR,Facebook,https://www.facebook.com/cflor.mrecic.gov.ar
178,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRECI,Facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
179,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRECI,Instagram,https://www.instagram.com/consuladoargentinorecife
180,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRIOJ,Facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
181,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Facebook,https://www.facebook.com/ArgentinaenSalvador
182,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Instagram,https://www.instagram.com/argentinaensalvador
